"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.281395763916088,0.19017935767792,0.087,0.084,1,"LYPLA2"
0.281841634337177,0.181504844232572,0.1,0.097,1,"EML2"
0.282105317318167,0.132903552356314,0.105,0.102,1,"E2F4"
0.282212614632193,0.399686183877946,0.02,0.017,1,"ARHGEF3"
0.282670850868977,0.191399411037778,0.08,0.076,1,"R3HDM4"
0.282672241323774,0.481155424506276,0.011,0.009,1,"GAD1"
0.283343550290309,0.153447036679268,0.099,0.096,1,"NEPRO"
0.283939085251757,0.257276397523055,0.021,0.018,1,"AL132656.3"
0.284127823286388,-0.252079442577418,0.01,0.012,1,"GDPD1"
0.284206951305469,0.404311856744414,0.018,0.015,1,"KNTC1"
0.284235684152352,0.16402028161156,0.133,0.132,1,"CINP"
0.284431179271078,0.300922510839982,0.027,0.023,1,"ZNF839"
0.28478150046459,0.233432764352496,0.063,0.058,1,"DPH5"
0.284909348924102,0.16642944588226,0.062,0.057,1,"SLC39A4"
0.284913470843957,0.246417067500623,0.043,0.039,1,"FAM206A"
0.284940277309433,0.373632003919766,0.019,0.016,1,"PCDHGA6"
0.285779413073475,0.115419113908148,0.45,0.473,1,"ANKRD11"
0.286188721157594,0.28666371062724,0.035,0.031,1,"AC004812.2"
0.286677588025815,-0.21737307218334,0.02,0.023,1,"KIAA1958"
0.286683540548008,0.1322974684878,0.117,0.115,1,"TRIAP1"
0.288234523363348,-0.181202774245901,0.021,0.025,1,"RPL5P12"
0.288625291555118,0.260852530566526,0.045,0.041,1,"EXD2"
0.289153896138424,-0.179447886171362,0.016,0.019,1,"ZBTB3"
0.289448775895257,0.229335075418254,0.045,0.041,1,"ZNF805"
0.289481919359499,0.165460803975606,0.129,0.127,1,"SUCO"
0.289660853887399,0.317214255786228,0.023,0.02,1,"PRIM1"
0.290012358983976,-0.14104147124481,0.021,0.025,1,"WDR53"
0.291259546680148,0.225391113972412,0.074,0.07,1,"EPB41"
0.29144012987696,0.274644699009974,0.014,0.011,1,"AL139220.2"
0.291586057397028,0.265754867938961,0.05,0.046,1,"TTC7B"
0.292023965197135,0.335794399731143,0.02,0.017,1,"VPS37D"
0.292624953429685,-0.157532540061273,0.017,0.02,1,"C5orf30"
0.292742676344128,0.231479769180192,0.09,0.086,1,"RIPK1"
0.292966622220067,0.197633878350048,0.092,0.089,1,"ENDOV"
0.293027038902653,-0.301789309500615,0.011,0.013,1,"ECT2"
0.293155791758189,0.355827058478098,0.014,0.011,1,"ZNF613"
0.294358918845929,0.223565348038931,0.07,0.066,1,"NAA30"
0.295200834646914,0.211853000320274,0.016,0.013,1,"ZNF417"
0.295455294793381,0.187892524461823,0.108,0.105,1,"MTAP"
0.295570961288608,0.289939393577922,0.034,0.03,1,"SPDL1"
0.295624484107151,0.37330409006558,0.015,0.012,1,"BX255925.3"
