"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.827713e-13,0.6356788,0.568,0.366,5.615467e-09,"33","RPN2"
1.899213e-13,0.6003475,0.558,0.348,5.835141e-09,"33","RBBP6"
1.904828e-13,0.8875987,0.322,0.165,5.852393e-09,"33","POLR2H"
1.966715e-13,0.4407373,0.861,0.706,6.042536e-09,"33","SLC25A3"
1.993007e-13,0.4884437,0.801,0.604,6.123316e-09,"33","NDUFB2"
2.06086e-13,1.258712,0.268,0.134,6.331786e-09,"33","CPVL"
2.067059e-13,0.8936242,0.322,0.165,6.350832e-09,"33","LUC7L2"
2.105994e-13,1.09995,0.271,0.132,6.470457e-09,"33","EBNA1BP2"
2.190809e-13,0.5859359,0.621,0.416,6.731041e-09,"33","RAP1B"
2.556008e-13,0.7266973,0.429,0.246,7.85308e-09,"33","GLIPR1"
2.587372e-13,0.8796911,0.284,0.137,7.949443e-09,"33","CBX4"
2.660823e-13,0.6654405,0.536,0.338,8.175113e-09,"33","TAPBP"
2.846232e-13,0.8623276,0.369,0.204,8.744762e-09,"33","SCAMP2"
2.934027e-13,0.6941016,0.467,0.279,9.014503e-09,"33","ANAPC5"
3.042021e-13,0.4720051,0.741,0.558,9.346306e-09,"33","HSPE1"
3.056974e-13,1.023407,0.297,0.15,9.392246e-09,"33","PSMA2"
3.135347e-13,1.077317,0.271,0.133,9.633041e-09,"33","AC027290.2"
3.611719e-13,0.5705596,0.618,0.417,1.109665e-08,"33","ATP6V1F"
3.669274e-13,0.5619117,0.647,0.429,1.127348e-08,"33","ATP5F1A"
4.157102e-13,0.5579883,0.628,0.421,1.277228e-08,"33","HADHA"
4.193288e-13,1.027054,0.256,0.121,1.288346e-08,"33","CSNK1G2"
4.278551e-13,0.8959625,0.372,0.21,1.314542e-08,"33","MRPL11"
4.389688e-13,0.9897679,0.334,0.179,1.348688e-08,"33","EIF4EBP1"
4.437707e-13,0.9864793,0.29,0.146,1.363441e-08,"33","HAGH"
4.530818e-13,0.9976404,0.287,0.143,1.392049e-08,"33","SRGAP2"
4.728876e-13,0.7788053,0.353,0.188,1.4529e-08,"33","TFAM"
4.926793e-13,0.8905975,0.366,0.204,1.513708e-08,"33","SFT2D2"
5.09469e-13,0.9044359,0.315,0.163,1.565293e-08,"33","AP3B1"
5.154847e-13,1.022953,0.284,0.142,1.583775e-08,"33","ACTR1A"
5.317825e-13,1.261306,0.256,0.124,1.633849e-08,"33","MSH6"
5.496509e-13,1.05923,0.274,0.136,1.688748e-08,"33","DPM2"
5.851992e-13,1.218681,0.549,0.432,1.797966e-08,"33","CTSZ"
5.951404e-13,1.026489,0.262,0.126,1.828509e-08,"33","ELP5"
6.074096e-13,0.6035034,0.562,0.362,1.866205e-08,"33","RAB5C"
